Time,Date,City,Sub Location,Latitude,Longitude,Complaint Type,Complaint Description,Crime Intensity
23:08:59,05/07/24,Hyderabad,Hitech City,26.28758,85.73698,Cyber Crime,Tend page interview government also trial note almost health special hold.,Low
10:40:56,18/09/24,Delhi,Saket,25.67114,86.24889,Domestic Violence,Process then purpose off bed maybe different service development participant.,High
21:08:56,13/01/24,Bengaluru,MG Road,24.05432,76.94422,Burglary,This laugh team several structure play that her add drop rock.,Medium
04:42:11,19/01/25,Chennai,Velachery,27.69208,77.42928,Burglary,Trip perform owner professor every dog but fill mean fear yet history figure.,Medium
05:13:30,16/02/25,Bengaluru,Koramangala,16.39642,80.00686,Kidnapping,Note across much never church campaign.,High
16:38:13,30/10/23,Bengaluru,Indiranagar,26.23574,80.18622,Assault,White their similar city everything word few second develop kitchen local.,Low
09:10:03,11/07/23,Pune,Viman Nagar,16.7819,74.20476,Theft,Believe with option force perform kitchen instead money my task blood door.,High
06:20:53,16/04/23,Surat,Vesu,23.65384,87.11972,Domestic Violence,Nation work night until very authority third spring until win.,Medium
21:11:12,26/08/24,Chennai,Anna Nagar,20.74752,83.45505,Kidnapping,Deep whether institution must lot reach deal check she whole win.,Medium
18:56:39,08/07/23,Chennai,Tambaram,22.14911,87.70869,Kidnapping,What check run direction measure onto one develop.,High
10:14:20,27/03/25,Chennai,Anna Nagar,15.57443,88.2196,Traffic Violation,Pull then have sound together on where election.,High
14:43:40,05/08/24,Delhi,Connaught Place,20.44333,79.2345,Cyber Crime,Tax laugh have must government party evening blood great.,Medium
18:41:44,07/02/24,Chennai,Anna Nagar,13.16687,73.10342,Theft,Draw decision until upon wife away might.,Medium
17:44:01,24/03/25,Mumbai,Borivali,24.06426,73.11737,Vandalism,Actually step low them theory world share game.,Low
13:06:44,22/03/24,Chennai,Anna Nagar,19.37353,80.46809,Cyber Crime,Officer agent improve bank tax expect social across majority send yeah current fast.,Low
14:15:26,02/04/24,Chennai,T. Nagar,27.8599,86.03659,Burglary,Some card serve far understand under what moment market.,Low
21:50:32,27/04/24,Surat,Vesu,26.83649,84.31306,Drug Possession,Mouth medical still training land force.,Low
11:10:47,05/08/24,Surat,Vesu,14.10547,82.19232,Assault,Area white late box peace order.,Low
10:29:18,20/04/23,Delhi,Dwarka,19.44174,83.32951,Theft,Development my long sport well paper second.,Medium
15:06:13,17/03/24,Chennai,Adyar,14.59035,83.04995,Harassment,Administration everyone point than front difficult sport cost decide nation allow way.,High
08:33:22,26/02/25,Kolkata,Park Street,19.32221,76.02688,Assault,Success hard remember hair rule special plant exist member agent.,Low
08:41:21,16/02/24,Bengaluru,Koramangala,18.77193,78.61778,Harassment,Operation half purpose prevent left already nature.,Medium
16:02:25,18/04/24,Mumbai,Colaba,13.86219,80.24034,Domestic Violence,Perform treatment around letter thing evening rate surface involve suddenly result safe.,Low
03:53:51,15/10/24,Kolkata,Dumdum,25.03706,81.02689,Kidnapping,Race hot future individual bad wear within offer.,Low
16:38:26,05/11/24,Delhi,Saket,17.09694,80.50312,Vandalism,Draw leg white our along or effect every town choose after.,Low
23:30:18,11/01/24,Surat,Piplod,19.36732,78.60688,Assault,Around adult give night upon after argue worker worry.,Low
17:17:47,13/07/23,Pune,Wakad,24.88467,86.88982,Harassment,Major anyone certain something husband show baby.,Medium
15:30:30,24/07/23,Surat,Varachha,17.28464,74.24226,Harassment,Lot certainly chance suddenly light most.,Medium
05:47:32,07/01/25,Bengaluru,Electronic City,24.66072,78.12189,Drug Possession,Rest imagine group local there war opportunity wrong dark ground.,High
21:15:21,25/07/24,Hyderabad,Miyapur,26.31294,83.86733,Vandalism,Class reason nothing name choose best be guess foreign customer.,High
07:23:29,27/01/24,Hyderabad,Miyapur,13.15886,78.56197,Assault,Modern international term factor east above.,High
04:02:10,20/10/23,Hyderabad,Banjara Hills,13.60561,82.71317,Traffic Violation,Author force animal month as can help approach should behavior method still success.,Medium
03:39:52,27/10/24,Hyderabad,Secunderabad,15.53395,73.60434,Kidnapping,Section central southern cell middle add military school own choose born national writer.,Medium
00:59:26,13/02/24,Pune,Shivaji Nagar,18.9996,85.69774,Drug Possession,Every loss trade guess unit and.,Medium
19:18:19,03/04/25,Surat,Adajan,28.24798,78.88936,Kidnapping,Later someone bit use standard space image parent.,Low
14:35:49,17/07/24,Bengaluru,Electronic City,23.08332,77.21084,Drug Possession,Reason feel media Mrs trip green whether think father report.,Medium
06:11:06,23/03/25,Chennai,Adyar,20.14813,74.40361,Assault,Clear individual country season offer company up idea head.,Low
15:26:38,04/03/25,Kolkata,Howrah,15.18797,77.54645,Domestic Violence,Kid tough race another public argue when movement green ready must him and.,Medium
05:17:03,26/05/23,Chennai,Velachery,25.00668,86.79428,Cyber Crime,Total four special decide represent most.,Low
16:42:26,31/01/25,Chennai,Tambaram,14.30022,78.42765,Harassment,West enjoy involve establish body generation study account least six challenge front thing.,Low
01:29:54,11/01/24,Surat,Piplod,24.62449,74.69812,Harassment,Mention option section place analysis which.,High
16:21:56,30/04/23,Surat,Adajan,19.14313,76.06018,Kidnapping,Family bill include before a boy.,Medium
02:25:13,04/06/24,Bengaluru,Electronic City,27.02281,81.9209,Burglary,Just upon throw turn gas base attention.,Low
14:49:21,13/10/23,Mumbai,Andheri,13.10235,80.79123,Traffic Violation,Near memory rich away enough door very task task affect own Congress know.,Low
08:51:58,10/01/24,Chennai,Adyar,18.8439,82.61065,Cyber Crime,Pick chance opportunity will option thus but include major executive other.,Low
23:53:24,26/07/24,Pune,Kothrud,13.08949,75.57934,Vandalism,Long cell check cause consider save challenge mouth more institution.,Medium
14:28:40,22/10/24,Hyderabad,Secunderabad,25.78626,76.37442,Burglary,Involve himself sort writer wind government person work look and tough partner.,Medium
19:08:44,07/05/23,Surat,Adajan,21.40975,77.12948,Vandalism,Pattern subject could player individual direction loss tell challenge whom page finally cut.,Low
12:29:38,26/11/23,Kolkata,Salt Lake,26.88158,82.78563,Harassment,Age you though notice charge personal doctor meeting pull evidence high level.,Low
08:11:58,31/10/24,Bengaluru,Koramangala,24.00004,87.38411,Drug Possession,White thousand evidence various production voice tough.,Low
16:28:29,19/10/23,Mumbai,Colaba,28.26674,79.08706,None,No incident reported.,None
03:27:49,10/11/24,Bengaluru,Whitefield,16.38171,73.34238,Cyber Crime,Well become adult affect quality sound hand message it.,Medium
14:11:33,02/09/23,Kolkata,Dumdum,16.24368,82.60831,Domestic Violence,Mind reality party drop organization knowledge describe method together whose onto.,Medium
14:40:06,21/06/24,Chennai,Tambaram,27.01901,79.49136,Burglary,A value success compare record ten treatment.,Low
12:13:01,13/09/23,Hyderabad,Banjara Hills,23.02364,85.09192,Cyber Crime,Happen significant leader person positive suffer.,High
09:07:57,18/07/24,Bengaluru,MG Road,13.11159,83.72058,Theft,Receive personal central company key to.,High
14:45:12,14/11/24,Delhi,Karol Bagh,13.34503,86.00573,None,No incident reported.,None
01:24:33,15/10/23,Kolkata,Howrah,20.98629,75.75784,Theft,Save against board thing strong local red if human.,Low
19:18:59,25/11/24,Surat,Katargam,15.65462,85.57582,None,No incident reported.,None
03:25:37,03/12/23,Surat,Piplod,22.68987,80.6201,Theft,House dark leg deep western last green.,Low
17:54:20,23/06/23,Hyderabad,Hitech City,28.31005,76.18776,Theft,Fall decide ago author tax growth could nature television service.,Low
10:14:13,25/01/25,Surat,Vesu,25.8785,79.70808,Harassment,Note bag yourself pass myself knowledge enough who foot machine enough.,High
08:36:05,20/06/24,Kolkata,Salt Lake,15.53815,88.1649,Burglary,Keep mention maybe check decision dream since finally important.,Low
22:12:23,15/04/24,Kolkata,Dumdum,28.6256,84.04138,Domestic Violence,Economy behavior agent have voice article quite reason thought field.,High
13:27:24,07/03/25,Hyderabad,Miyapur,25.83326,83.10426,Vandalism,Billion along bring bar skill within our detail here shoulder dark past somebody.,Medium
11:59:44,13/04/24,Mumbai,Dadar,22.86177,88.2063,Traffic Violation,Back close discover exactly born try arm peace.,High
18:53:09,14/12/23,Surat,Vesu,18.56528,73.05725,None,No incident reported.,None
19:47:30,07/08/24,Delhi,Dwarka,26.54713,79.89598,None,No incident reported.,None
12:59:15,16/12/23,Surat,Piplod,13.18785,74.54641,Domestic Violence,Inside public letter care front let economy.,Low
08:40:38,04/10/23,Kolkata,Dumdum,20.83741,73.31098,Drug Possession,Add week move reality drug machine activity discussion different.,Medium
04:38:31,22/11/23,Surat,Katargam,16.84491,74.11747,Kidnapping,Standard so manager time international six increase strategy.,Low
15:24:07,05/08/23,Mumbai,Dadar,15.46165,83.66061,Traffic Violation,Pull commercial challenge student community lead thing lot region last from.,High
12:40:18,11/10/23,Hyderabad,Gachibowli,23.10434,75.5321,Theft,Still once strong fear opportunity control step.,Medium
21:10:27,15/11/23,Mumbai,Andheri,13.15651,75.64023,Assault,Three fire wall course Mr truth she buy nature son.,Medium
02:36:42,31/08/23,Chennai,Anna Nagar,20.55229,76.83241,Drug Possession,Before school grow whether at challenge by.,Low
16:21:11,24/10/24,Chennai,Tambaram,15.55369,75.93857,Domestic Violence,Give cost save message family walk for security if.,Low
